source_id,target_id,relationship,weight,label,bidirectional
company_173,sector_1,OPERATES_IN,1,operates in,0
company_174,sector_12,OPERATES_IN,1,operates in,0
company_175,sector_12,OPERATES_IN,1,operates in,0
company_176,sector_1,OPERATES_IN,1,operates in,0
company_177,sector_12,OPERATES_IN,1,operates in,0
company_178,sector_12,OPERATES_IN,1,operates in,0
company_179,sector_12,OPERATES_IN,1,operates in,0
company_180,sector_12,OPERATES_IN,1,operates in,0
company_181,sector_12,OPERATES_IN,1,operates in,0
company_182,sector_12,OPERATES_IN,1,operates in,0
company_183,sector_12,OPERATES_IN,1,operates in,0
company_184,sector_12,OPERATES_IN,1,operates in,0
company_185,sector_12,OPERATES_IN,1,operates in,0
company_186,sector_10,OPERATES_IN,1,operates in,0
company_187,sector_9,OPERATES_IN,1,operates in,0
company_188,sector_12,OPERATES_IN,1,operates in,0
company_189,sector_12,OPERATES_IN,1,operates in,0
company_190,sector_1,OPERATES_IN,1,operates in,0
company_191,sector_1,OPERATES_IN,1,operates in,0
company_192,sector_2,OPERATES_IN,1,operates in,0
company_193,sector_12,OPERATES_IN,1,operates in,0
company_194,sector_3,OPERATES_IN,1,operates in,0
company_195,sector_12,OPERATES_IN,1,operates in,0
company_196,sector_2,OPERATES_IN,1,operates in,0
company_197,sector_2,OPERATES_IN,1,operates in,0
company_198,sector_10,OPERATES_IN,1,operates in,0
company_199,sector_10,OPERATES_IN,1,operates in,0
company_200,sector_10,OPERATES_IN,1,operates in,0
company_201,sector_12,OPERATES_IN,1,operates in,0
company_202,sector_0,OPERATES_IN,1,operates in,0
company_203,sector_12,OPERATES_IN,1,operates in,0
company_204,sector_12,OPERATES_IN,1,operates in,0
company_205,sector_12,OPERATES_IN,1,operates in,0
company_206,sector_12,OPERATES_IN,1,operates in,0
company_207,sector_12,OPERATES_IN,1,operates in,0
company_208,sector_0,OPERATES_IN,1,operates in,0
company_209,sector_4,OPERATES_IN,1,operates in,0
company_210,sector_9,OPERATES_IN,1,operates in,0
company_211,sector_9,OPERATES_IN,1,operates in,0
company_212,sector_12,OPERATES_IN,1,operates in,0
company_213,sector_1,OPERATES_IN,1,operates in,0
company_214,sector_12,OPERATES_IN,1,operates in,0
company_215,sector_12,OPERATES_IN,1,operates in,0
company_216,sector_12,OPERATES_IN,1,operates in,0
company_217,sector_12,OPERATES_IN,1,operates in,0
company_218,sector_10,OPERATES_IN,1,operates in,0
company_219,sector_3,OPERATES_IN,1,operates in,0
company_220,sector_3,OPERATES_IN,1,operates in,0
company_221,sector_3,OPERATES_IN,1,operates in,0
company_222,sector_3,OPERATES_IN,1,operates in,0
company_223,sector_12,OPERATES_IN,1,operates in,0
company_224,sector_12,OPERATES_IN,1,operates in,0
company_225,sector_12,OPERATES_IN,1,operates in,0
company_226,sector_12,OPERATES_IN,1,operates in,0
company_227,sector_12,OPERATES_IN,1,operates in,0
